Товар(услуга),Цена,Местоположение
Эвакуация - автобус  Киев   -  Львов/Польша/Румыния/Германия/Болгария,Бесплатно,"Киев, Дарницкий - 09 июня 2022 г."
Строительство дома милосердия для матери и ребёнка,Бесплатно,Великий Дальник - 09 июня 2022 г.
"Автобус, Запорожье, эвакуация, выезд за границу и по Украине!",Бесплатно,"Киев, Шевченковский - 08 июня 2022 г."
"Автобус, Днепр, эвакуация, перевозки, выезд за границу и по Украине!",Бесплатно,"Днепр, Соборный - 08 июня 2022 г."
Заправка автомобилей,Бесплатно,"Одесса, Малиновский - 09 июня 2022 г."
Допомагаємо з Канадською візою CUAET,Бесплатно,Казанка - 08 июня 2022 г.
"Сниму жилье, дом/квартиру",Бесплатно,Ровно - 07 июня 2022 г.
Професійна чистка зубів,1 000 грн.,"Киев, Голосеевский - 09 июня 2022 г."
Возьму в аренду СТО,222 грн.,"Харьков, Слободской - 26 мая 2022 г."
"Платно! Ищем квартиры, дома, жилые дачи",Бесплатно,"Запорожье, Днепровский - 09 июня 2022 г."
"Автобус, Сумы, эвакуация, перевозки, выезд за границу и по Украине!",Бесплатно,Сумы - 08 июня 2022 г.
Прокачую аки,Бесплатно,Великий Кучуров - 08 июня 2022 г.
Прокачка,Бесплатно,Черновцы - 08 июня 2022 г.
Терміново потрібен бус для ЗСУ,Бесплатно,Мироновка - 09 июня 2022 г.
Нужна Ваша помощь!,Бесплатно,"Киев, Днепровский - 07 июня 2022 г."
"Модные, стильные женские очки для зрения у кого близорукость",Бесплатно,Пятихатки - 08 июня 2022 г.
Присмотрю за ребёнком на 1-3часика,Бесплатно,Пятихатки - 08 июня 2022 г.
Сбор медикаментов,Бесплатно,"Одесса, Малиновский - 09 июня 2022 г."
Сниму помещение 100м для пункта выдачи гуманитарки,Бесплатно,"Запорожье, Вознесеновский - 08 июня 2022 г."
Сниму квартиру/дом,Бесплатно,Ровно - 07 июня 2022 г.
"Шукаю квартиру в Ужгороді, нас 2 людини без тварин",15 000 грн.,Ужгород - 13 мая 2022 г.
"Мясо свинное,куриное. Куплю оптом",100 грн.,Мелитополь - 09 июня 2022 г.
"Авто для нужд Благотворительного фонда ""НЕНЬКА БАТЬКIВЩИНА""",Бесплатно,"Харьков, Слободской - 09 июня 2022 г."
"Сборка, разборка мебели, мебель, демонтаж,уборка, сантехник, ремонт",Бесплатно,Коростень - 08 июня 2022 г.
"Гуманитарный проект ""ВОЗЬМИ ЖИЛЕТ ДАРОМ""",Бесплатно,"Харьков, Индустриальный  - 09 июня 2022 г."
Друзі! Волонтери! Спонсори! Бізнесмени! Організації! Підприємства!,Бесплатно,"Днепр, Центральный - 07 июня 2022 г."
"Шукаю квартиру в Ужгороді, нас 2 людини без тварин",15 000 грн.,Ужгород - 13 мая 2022 г.
Патриотические футболки,Бесплатно,"Одесса, Малиновский - 06 июня 2022 г."
Предоставлю жилье,Бесплатно,"Днепр, Индустриальный - 05 июня 2022 г."
"Кеди для дівчинка,Allsport",Бесплатно,"Львов, Шевченковский - 05 июня 2022 г."
"Одесса - автобус, перевозки, выезд за границу и по Украине!",Бесплатно,"Одесса, Киевский - 07 июня 2022 г."
Житло безкоштовно,Бесплатно,Сарны - 05 июня 2022 г.
"Нужны модели на бесплатные мужские стрижки, стрижки бороды",Бесплатно,"Днепр, Центральный - 07 июня 2022 г."
Дитячі колготи трикотаж на зріст 122 і 128 134,Бесплатно,Ровно - 07 июня 2022 г.
Отдам бесплатно вещей,Бесплатно,"Одесса, Малиновский - 04 июня 2022 г."
"Харьков - автобус, перевозки, выезд за границу и по Украине!",Бесплатно,"Харьков, Киевский - 07 июня 2022 г."
"Грыжи ,потрузии ,невриты, остеохондроз...",Бесплатно,"Киев, Печерский - 06 июня 2022 г."
На Ваше замовлення доставимо ліки дефіцит,Бесплатно,"Харьков, Слободской - 09 июня 2022 г."
Професійна чистка зубів,1 000 грн.,"Киев, Голосеевский - 09 июня 2022 г."
"Эвакуация, помощь с выездом за границу!",Бесплатно,"Львов, Железнодорожный - 09 июня 2022 г."
"Запорожье - автобус, перевозки, выезд за границу и по Украине!",Бесплатно,"Запорожье, Шевченковский - 07 июня 2022 г."
Допоможіть дуже потрібно,Бесплатно,Гайсин - 05 июня 2022 г.
Дом-Дача в ЛИМАНСКОМ районе,Бесплатно,"Одесса, Суворовский - 06 июня 2022 г."
"Катаракта, глаукома, слепота.сухость глаз",Бесплатно,"Киев, Печерский - 06 июня 2022 г."
Нужен помощник на электромобиле,Бесплатно,"Кропивницкий, Фортечный - 05 июня 2022 г."
Стартовий пакет Sweet.TV Світ ТБ 1міс. КиївстарТБ 1міс.,Бесплатно,Хмельницкий - 07 июня 2022 г.
Приглашаем партнёров в  Международный проект,Бесплатно,Полтава - 05 июня 2022 г.
"Klacid, Flagyl,Ursoplus,Novadol 1000  и другие",Бесплатно,Полтава - 05 июня 2022 г.
Зашиваю выбитые окна осб плитой. Альпинист. Высотные работы. Монтаж.,Бесплатно,"Харьков, Киевский - 07 июня 2022 г."
Психолог Консультант,Бесплатно,Городенка - 04 июня 2022 г.
"Психолог, Диетолог и Физиотерапевт в одном лице.",Бесплатно,"Днепр, Шевченковский - 31 мая 2022 г."
"Платно! Ищем квартиры, дома, жилые дачи",Бесплатно,"Запорожье, Днепровский - 09 июня 2022 г."
"Мясо свинное,куриное. Куплю оптом",100 грн.,Мелитополь - 09 июня 2022 г.
"Рюкзак class, 1-2 клас, безкоштовна доставка",Бесплатно,Хмельницкий - 06 июня 2022 г.
"Документы института на переоборудование, сертификация",Бесплатно,Бердичев - 04 июня 2022 г.
Требуется сиделка,Бесплатно,Макеевка - 05 июня 2022 г.
"Грузчики , грузоперевезення.",Бесплатно,"Житомир, Путятинка - 04 июня 2022 г."
Відадм безкоштовно сапожки.,Бесплатно,Сарны - 07 июня 2022 г.
"Вывод из запоя, кодировка, подшивка.",Бесплатно,"Киев, Святошинский - 06 июня 2022 г."
Таблетки Ксизал 5 mg 28 шт.,Бесплатно,Полтава - 04 июня 2022 г.
Просим помощь  минилагерю для беженцев.,Бесплатно,"Днепр, Индустриальный - 04 июня 2022 г."
Ищем жилье для переселенцев. АН КАПИТАЛ,Бесплатно,"Запорожье, Вознесеновский - 06 июня 2022 г."
Терміново Сімья шукає житло за розумні гроші.,Бесплатно,"Львов, Галицкий - 06 июня 2022 г."
Возьму в аренду СТО,222 грн.,"Харьков, Слободской - 26 мая 2022 г."
Куплю продукты питания довготривалого зберігання,100 грн.,Инженерный - 08 июня 2022 г.
Куплю пчелы.Можно с ульями.,Бесплатно,"Днепр, Амур-Нижнеднепровский - 07 июня 2022 г."
Возьму Ниву Шевроле в лизинг,Бесплатно,Софиевская Борщаговка - 06 июня 2022 г.
Платимо і професійно видаляємо каталізатор EGR!Стейдж1!Прошивка евро 2,Бесплатно,"Киев, Дарницкий - 07 июня 2022 г."
Візьму в подарунок автомобіль інвалід 2 групи не значним ремонтом,Бесплатно,Ровно - 05 июня 2022 г.
Присмотрю за ребёнком почасово,Бесплатно,Пятихатки - 05 июня 2022 г.
Приймемо в дар або купимо недорого оргскло,Бесплатно,"Киев, Соломенский - 06 июня 2022 г."
экспертиза автоэксперт ОЦІНКА авто для ЗСУ автоэкспертиза експерт,Бесплатно,"Харьков, Киевский - 06 июня 2022 г."
Сниму квартиру в Павлограде 2 комнатную,Бесплатно,Павлоград - 07 июня 2022 г.
Сниму жильё в Кременчуге,Бесплатно,Кременчуг - 05 июня 2022 г.
Виробничі приміщення від 50 до 650 м²,Бесплатно,Дружба - 04 июня 2022 г.
"Психолог, Диетолог и Физиотерапевт в одном лице.",Бесплатно,"Днепр, Шевченковский - 31 мая 2022 г."
"Платно! Ищем квартиры, дома, жилые дачи",Бесплатно,"Запорожье, Днепровский - 09 июня 2022 г."
"Мясо свинное,куриное. Куплю оптом",100 грн.,Мелитополь - 09 июня 2022 г.
Бесплатно сдам комнату в 2-х комн.квартире в Таромском.,Бесплатно,"Днепр, Новокодакский - 01 июня 2022 г."
Выезд за границу,Бесплатно,"Киев, Шевченковский - 31 мая 2022 г."
Препарат лек остались после лечения,Бесплатно,Сумы - 03 июня 2022 г.
Куплю рака оптом,Бесплатно,Ахтырка - 03 июня 2022 г.
Житло безкоштовно,Бесплатно,Сарны - 03 июня 2022 г.
Психолог-консультант,Бесплатно,"Одесса, Приморский - 02 июня 2022 г."
"Выезд за границу, помощь, консультации! Вся Украина!",Бесплатно,"Киев, Шевченковский - 31 мая 2022 г."
Допоможу заповнити заявку CUAET,Бесплатно,Ивано-Франковск - 03 июня 2022 г.
оренда комнати безплатно,Бесплатно,Мукачево - 01 июня 2022 г.
Приглашаем на работу,Бесплатно,Бердичев - 04 июня 2022 г.
На Ваше замовлення доставимо ліки дефіцит,Бесплатно,"Харьков, Слободской - 09 июня 2022 г."
"Шукаю квартиру в Ужгороді, нас 2 людини без тварин",15 000 грн.,Ужгород - 13 мая 2022 г.
Куплю продукты питания довготривалого зберігання,100 грн.,Инженерный - 08 июня 2022 г.
Сдам Комнату для женщины за помощь по хозяйству Ветряные горы улМежева,Бесплатно,"Киев, Подольский - 03 июня 2022 г."
"Вывод из запоя, кодировка Украина",Бесплатно,"Киев, Святошинский - 01 июня 2022 г."
Жіночі туфлі шкіра,Бесплатно,Замехов - 30 мая 2022 г.
Куплю любое авто,Бесплатно,Никополь - 03 июня 2022 г.
"Послуги вантажників, услуги грузчиков, недорого, Київ",Бесплатно,"Киев, Днепровский - 29 мая 2022 г."
Виїзд 02.06Україна-Німеччина-Голандія КОЖНОГО ТИЖНЯ СЕРЕДА-ЧЕТВЕР,Бесплатно,Броды - 30 мая 2022 г.
УЗИ на дому для пенсионеров бесплатно,Бесплатно,"Харьков, Шевченковский - 30 мая 2022 г."
Лечение алкоголизма и наркомании Украина,Бесплатно,"Киев, Святошинский - 30 мая 2022 г."
Кульчики цепочка кольє сережки набір біжутерія,Бесплатно,Козинцы - 03 июня 2022 г.
уплотнитель оконный новый,Бесплатно,Никополь - 02 июня 2022 г.
Професійна чистка зубів,1 000 грн.,"Киев, Голосеевский - 09 июня 2022 г."
"Гуманитарный проект ""ВОЗЬМИ ЖИЛЕТ ДАРОМ""",Бесплатно,"Харьков, Индустриальный  - 09 июня 2022 г."
Друзі! Волонтери! Спонсори! Бізнесмени! Організації! Підприємства!,Бесплатно,"Днепр, Центральный - 07 июня 2022 г."
"Нужны хорошие квартиры, дома. Платно",Бесплатно,"Запорожье, Хортицкий - 31 мая 2022 г."
КУ Богодухівський дитячий будинок-інтернат прийме в подарунок авто.,Бесплатно,Богодухов - 31 мая 2022 г.
Веткорез verano потрібна деталь,Бесплатно,"Киев, Дарницкий - 03 июня 2022 г."
Снятие ломки Украина,Бесплатно,"Киев, Святошинский - 30 мая 2022 г."
"Семья беженцев,присмотрет снимет квартиру,в харькове ,южд,холодна гора",Бесплатно,Степная - 01 июня 2022 г.
"Психолог, Диетолог и Физиотерапевт в одном лице.",Бесплатно,"Днепр, Шевченковский - 31 мая 2022 г."
Шукаю кімнату на підсилення,Бесплатно,Хомяковка - 31 мая 2022 г.
Допомога підприємцям,Бесплатно,"Львов, Франковский - 31 мая 2022 г."
Одяг дитячий-жіночий,Бесплатно,Надворная - 30 мая 2022 г.
"Вывоз из запоя, кодировка Украина",Бесплатно,"Киев, Святошинский - 30 мая 2022 г."
Возьму в аренду СТО,222 грн.,"Харьков, Слободской - 26 мая 2022 г."
"Эвакуация, помощь с выездом за границу!",Бесплатно,"Львов, Железнодорожный - 09 июня 2022 г."
Приглашаем партнёров в  Международный проект,Бесплатно,Полтава - 02 июня 2022 г.
Ваш автомобиль срочно,Бесплатно,Дружковское - 31 мая 2022 г.
"Шукаю роботу водія категорії BC, є стаж роботи на таксі",Бесплатно,Оздов - 03 июня 2022 г.
Платье  80-86  см,Бесплатно,"Киев, Дарницкий - 29 мая 2022 г."
Машина не їде професійно видаляэмо каталізатор +від нас Подарунки,Бесплатно,"Киев, Голосеевский - 03 июня 2022 г."
Ретрил для поддержки сердца,Бесплатно,Мелитополь - 02 июня 2022 г.
Помошь в поиске товаров,Бесплатно,Павлоград - 01 июня 2022 г.
Візьму автомобіль в оренду електричний дизельный гібридний від 2016 р.,12 000 грн.,"Киев, Шевченковский - 31 мая 2022 г."
Профессиональное удаление катализатора!EGR!Стейдж1!Прошивка евро 2!,Бесплатно,"Днепр, Индустриальный - 03 июня 2022 г."
Професійна чистка зубів,1 000 грн.,"Киев, Голосеевский - 09 июня 2022 г."
"Психолог, Диетолог и Физиотерапевт в одном лице.",Бесплатно,"Днепр, Шевченковский - 31 мая 2022 г."
"Шукаю квартиру в Ужгороді, нас 2 людини без тварин",15 000 грн.,Ужгород - 13 мая 2022 г.
Симпарика для собак 20-40 кг,265 грн.Договорная,"Житомир, Аэропорт - 24 мая 2022 г."
Симпарика для собак 10-20 кг,249 грн.,"Житомир, Аэропорт - 24 мая 2022 г."
древесный уголь покупка / придбаю деревне вугiлля,1 грн.,Новоград-Волынский - 25 мая 2022 г.
"Надам безкоштовно ділянку,огород для підприємців або для вирощування",Бесплатно,Бобрица - 26 мая 2022 г.
ингалятор ост-ся после лечения и профлактики бр.астмы хр бр,Бесплатно,Сумы - 26 мая 2022 г.
Продукти оптом з Европи ! Також є доставка,100 грн.,Ивано-Франковск - 24 мая 2022 г.
Допомога в виїзді за кордон,Бесплатно,"Львов, Галицкий - 27 мая 2022 г."
здам гараж(можливо для збереження вашого авто),800 грн.,Умань - 26 мая 2022 г.
"Услуги трезвых грузчиков, переезди",200 грн.,"Киев, Шевченковский - 25 мая 2022 г."
Ищем жилье для переселенцев. Оплата сразу за 2 месяца,4 000 грн.,"Запорожье, Хортицкий - 26 мая 2022 г."
На Ваше замовлення доставимо ліки дефіцит,Бесплатно,"Харьков, Слободской - 09 июня 2022 г."
"Мясо свинное,куриное. Куплю оптом",100 грн.,Мелитополь - 09 июня 2022 г.
Возьму в аренду СТО,222 грн.,"Харьков, Слободской - 26 мая 2022 г."
Якісний інструмент,Бесплатно,"Киев, Дарницкий - 29 мая 2022 г."
Житло Закарпаття Поляна,400 грн.,Яковское - 26 мая 2022 г.
Петы в адопт ми за робуксы,1 грн.,Алупка - 24 мая 2022 г.
Питомник примет грызунов и птиц на передержку или в дар,1 грн.,Черновцы - 26 мая 2022 г.
Сова роблокс флай и райд           .,450 грн.,Стильско - 25 мая 2022 г.
Мішки тедді власного виробництва 80/100/120см,Бесплатно,Озерная - 25 мая 2022 г.
"Помощь с выездом за границу! Консультации, эвакуация! Вся Украина!",Бесплатно,"Львов, Лычаковский - 29 мая 2022 г."
"Коробки гофрокартон, почтовые для упаковки, для гуманитарной помощи",10 грн.,"Днепр, Соборный - 25 мая 2022 г."
Куплю Ваше Авто!!!,29 543 грн.,"Днепр, Шевченковский - 25 мая 2022 г."
Покупка мяса оптом,80 грн.,Мелитополь - 25 мая 2022 г.
"Эвакуация, помощь с выездом за границу!",Бесплатно,"Львов, Железнодорожный - 09 июня 2022 г."
"Платно! Ищем квартиры, дома, жилые дачи",Бесплатно,"Запорожье, Днепровский - 09 июня 2022 г."
Друзі! Волонтери! Спонсори! Бізнесмени! Організації! Підприємства!,Бесплатно,"Днепр, Центральный - 07 июня 2022 г."
Куплю бензин срочно,45 грн.,"Днепр, Амур-Нижнеднепровский - 24 мая 2022 г."
Розмитнення автомобілів,31 грн.,Ужгород - 24 мая 2022 г.
"Трансфер Одесса, Паланка, Западная Украина",Бесплатно,"Николаев, Заводский - 27 мая 2022 г."
Куплю крос шлем,Бесплатно,Гуменцы - 26 мая 2022 г.
Срочная евакуацыя в любое время,Бесплатно,Новомайское - 28 мая 2022 г.
Сниму квартиру в Киеве за небольшую плату.,Бесплатно,"Киев, Деснянский - 28 мая 2022 г."
Віддам безкоштовно скло,Бесплатно,"Львов, Франковский - 28 мая 2022 г."
Шукаємо скульптора! Робота Коломия,Бесплатно,Коломыя - 26 мая 2022 г.
снимем квартиру в любом районе города Запорожья,4 500 грн.,"Запорожье, Александровский - 26 мая 2022 г."
"Питомник примет к себе грызунов,птиц,рептилий",1 грн.,"Киев, Дарницкий - 26 мая 2022 г."
"Гуманитарный проект ""ВОЗЬМИ ЖИЛЕТ ДАРОМ""",Бесплатно,"Харьков, Индустриальный  - 09 июня 2022 г."
Куплю продукты питания довготривалого зберігання,100 грн.,Инженерный - 08 июня 2022 г.
грузчики.грузоперевезення,Бесплатно,"Житомир, Путятинка - 29 мая 2022 г."
Ищем жилье для переселенцев. Нужны квартиры,4 000 грн.,"Запорожье, Хортицкий - 24 мая 2022 г."
Потрібна допомога самотнім пенсіонерам,Бесплатно,"Винница, Старогородской - 25 мая 2022 г."
Зніму квартиру 1 або 2х кімнатну,Бесплатно,Фастов - 28 мая 2022 г.
Митно-Брокерські послуги,,Луцк - 27 мая 2022 г.
АВТОМОЙКА   ..возьму автомойку в аренду в Полтаве,1 грн.,Полтава - 25 мая 2022 г.
"Возьму в аренду помещение , автомойка , мойка ,бокс",9 999 грн.,Умань - 25 мая 2022 г.
Эвакуация автомобиля водитель по Европе трансфер перевозка авто,18 грн.,"Одесса, Приморский - 25 мая 2022 г."
"Беспл. консультация по работе с компьютером , обучение навыкам работы",Бесплатно,Бахмут - 27 мая 2022 г.
"Эвакуация, помощь с выездом за границу!",Бесплатно,"Львов, Железнодорожный - 09 июня 2022 г."
"Гуманитарный проект ""ВОЗЬМИ ЖИЛЕТ ДАРОМ""",Бесплатно,"Харьков, Индустриальный  - 09 июня 2022 г."
"Шукаю квартиру в Ужгороді, нас 2 людини без тварин",15 000 грн.,Ужгород - 13 мая 2022 г.
"Хостел для переселенців, безкоштовно",10 грн.,Тернополь - 21 мая 2022 г.
"Помощь с выездом за границу, консультации, переезд, эвакуация в ЕС",1 500 грн.,"Львов, Галицкий - 22 мая 2022 г."
"Авто під ключ, перетин кордону",500 грн.,Ровно - 21 мая 2022 г.
Піксельна футболка,185 грн.,"Киев, Печерский - 21 мая 2022 г."
Віддам Пітбуля,200 грн.,Подпечеры - 22 мая 2022 г.
Тактична військова панама( британка),300 грн.,"Винница, Замостянский - 23 мая 2022 г."
Грузоперевозки (тент),15 000 грн.,"Киев, Голосеевский - 20 мая 2022 г."
Сниму квартиру на Фрунзенском или Левобережном,8 000 грн.,"Днепр, Амур-Нижнеднепровский - 23 мая 2022 г."
Куплю авто недорого срочно,5 909 грн.,"Харьков, Немышлянский - 22 мая 2022 г."
Гранітна бруківка 250 гр з доставкою ( укладання),250 грн.,Нетешин - 23 мая 2022 г.
Друзі! Волонтери! Спонсори! Бізнесмени! Організації! Підприємства!,Бесплатно,"Днепр, Центральный - 07 июня 2022 г."
"Мясо свинное,куриное. Куплю оптом",100 грн.,Мелитополь - 09 июня 2022 г.
Возьму в аренду СТО,222 грн.,"Харьков, Слободской - 26 мая 2022 г."
Аренда помещения,1 111 грн.,"Киев, Голосеевский - 21 мая 2022 г."
"Обрізки тканини для маскувальних сіток, самовивіз!!!",30 грн.,Дружба - 21 мая 2022 г.
Парковка для машин бомбоубежище паркинг,2 000 грн.,"Днепр, Центральный - 21 мая 2022 г."
"Ошейник против блох и клещей, для  собак 65 см",80 грн.,Мелитополь - 22 мая 2022 г.
Найк високі білі 41-45. 120 пар.,1 800 грн.,"Киев, Деснянский - 24 мая 2022 г."
"Ошейник против блох и клещей, для кошек и мелких собак",80 грн.,Мелитополь - 22 мая 2022 г.
"Добрий, сім'ї потрібен авто будь яке аби на ходу",Бесплатно,Сарны - 23 мая 2022 г.
"Ремонт, будівництво.",100 грн.,Каламаринка - 24 мая 2022 г.
Допомога біженцям,Бесплатно,Соколовка - 22 мая 2022 г.
Вывезем авто из Украины водитель в Болгарию Европу эвакуация,18 грн.,"Одесса, Киевский - 22 мая 2022 г."
Професійна чистка зубів,1 000 грн.,"Киев, Голосеевский - 09 июня 2022 г."
Куплю продукты питания довготривалого зберігання,100 грн.,Инженерный - 08 июня 2022 г.
"Платно! Ищем квартиры, дома, жилые дачи",Бесплатно,"Запорожье, Днепровский - 09 июня 2022 г."
Джинсы женские ONLY,385 грн.,"Киев, Соломенский - 23 мая 2022 г."
Робота в Салоні краси,2 000 грн.,Богдашив - 23 мая 2022 г.
Дом дом дом  дом,8 000 грн.,Берегово - 23 мая 2022 г.
Вязаные игрушки=помощь животным,50 грн.,"Одесса, Киевский - 24 мая 2022 г."
"Молочница, зуд от комаров ,ожоги, аллергия. БЕСПЛАТНО.",Бесплатно,"Киев, Дарницкий - 21 мая 2022 г."
Приму в дар сенсорный телефон можно с трещинами,Бесплатно,"Одесса, Киевский - 22 мая 2022 г."
Помощь после обстрелов. Харьков.,1 грн.,"Харьков, Шевченковский - 21 мая 2022 г."
Послуги медичної сестри на дому,Бесплатно,Хмельницкий - 21 мая 2022 г.
Приму любой электроникю в дар,Бесплатно,Мукачево - 22 мая 2022 г.
"Дистрибьютор, Дилер, Логістика",99 грн.,Дружба - 21 мая 2022 г.
На Ваше замовлення доставимо ліки дефіцит,Бесплатно,"Харьков, Слободской - 09 июня 2022 г."
"Психолог, Диетолог и Физиотерапевт в одном лице.",Бесплатно,"Днепр, Шевченковский - 31 мая 2022 г."
Куплю дизельне паливо,Бесплатно,Жовтневое - 22 мая 2022 г.
Сниму квартиру срочно!! СемейнаЯ пара с ребенком,3.50 грн.,Подольск - 24 мая 2022 г.
",,Благодійність ,,",,"Одесса, Суворовский - 24 мая 2022 г."
Перевезу ваше авто из Харькова,5 000 грн.,"Харьков, Немышлянский - 23 мая 2022 г."
Royal Canin 7.5кг Jack Russell Terrier,1 587 грн.,Самбор - 23 мая 2022 г.
Віза в Канаду,1 570 грн.,Тячев - 22 мая 2022 г.
Газоанализатор КПУ-3,1 000 грн.,Светловодск - 20 мая 2022 г.
"Перегон авто по Украине,Драйвер",777 грн.,Покровск - 21 мая 2022 г.
"Присмотр за вашим домом, недвижимостью, загородным домом,производством",1 000 грн.,"Харьков, Основянский - 21 мая 2022 г."
Семья примет в дар Авто,100 грн.,"Одесса, Суворовский - 21 мая 2022 г."
Возьму в аренду СТО,222 грн.,"Харьков, Слободской - 26 мая 2022 г."
Друзі! Волонтери! Спонсори! Бізнесмени! Організації! Підприємства!,Бесплатно,"Днепр, Центральный - 07 июня 2022 г."
"Платно! Ищем квартиры, дома, жилые дачи",Бесплатно,"Запорожье, Днепровский - 09 июня 2022 г."
"Авиас,без срока действия .Лучшая цена .",55 грн.,"Днепр, Индустриальный - 19 мая 2022 г."
"Реставратор. Восстановить мебель, устранить повреждение",400 грн.,"Киев, Дарницкий - 19 мая 2022 г."
Подсумок под гранаты подсумка под гранаты CONDOR,1 299 грн.,Желтые Воды - 20 мая 2022 г.
Домашние полуфабрикаты на заказ,70 грн.,Мелитополь - 20 мая 2022 г.
обмен графических услуг на программирование,1 000 грн.,"Киев, Соломенский - 19 мая 2022 г."
Консультація лікаря Аюрведи Безкоштовно!,Бесплатно,"Харьков, Холодногорский - 19 мая 2022 г."
"Бесплатно. Помощь при стрессе. Йога, медитации, дыхательные практики.",Бесплатно,Лески - 20 мая 2022 г.
Кеды детские,20 грн.,"Кривой Рог, Саксаганский - 19 мая 2022 г."
"Футболка біла 2022 War in Ukraine, війна, Україна",299 грн.,"Киев, Голосеевский - 20 мая 2022 г."
"Озонирование авто, помещений, удаление запахов, вирусов и бактерий",200 грн.,"Днепр, Новокодакский - 19 мая 2022 г."
"Психолог, Диетолог и Физиотерапевт в одном лице.",Бесплатно,"Днепр, Шевченковский - 31 мая 2022 г."
Куплю продукты питания довготривалого зберігання,100 грн.,Инженерный - 08 июня 2022 г.
Професійна чистка зубів,1 000 грн.,"Киев, Голосеевский - 09 июня 2022 г."
Доставка авто из США и Европы Консультация,1 111 грн.,Луцк - 20 мая 2022 г.
экспертиза автоэксперт ОЦІНКА авто для ЗСУ автоэкспертиза експерт,Бесплатно,Мариуполь - 19 мая 2022 г.
экспертиза автоэксперт ОЦІНКА авто для ЗСУ автоэкспертиза експерт,Бесплатно,"Киев, Днепровский - 19 мая 2022 г."
экспертиза автоэксперт ОЦІНКА авто для ЗСУ автоэкспертиза експерт,Бесплатно,"Кривой Рог, Центрально-Городской - 19 мая 2022 г."
экспертиза автоэксперт ОЦІНКА авто для ЗСУ автоэкспертиза експерт,Бесплатно,Никополь - 19 мая 2022 г.
экспертиза автоэксперт ОЦІНКА авто для ЗСУ автоэкспертиза експерт,Бесплатно,Кременчуг - 19 мая 2022 г.
экспертиза автоэксперт ОЦІНКА авто для ЗСУ автоэкспертиза експерт,Бесплатно,Чернигов - 19 мая 2022 г.
Перегоню ваше авто!,1 000 грн.,Дорогое - 20 мая 2022 г.
экспертиза автоэксперт ОЦІНКА авто для ЗСУ автоэкспертиза експерт,Бесплатно,"Запорожье, Днепровский - 19 мая 2022 г."
экспертиза автоэксперт ОЦІНКА авто для ЗСУ автоэкспертиза експерт,Бесплатно,"Николаев, Заводский - 19 мая 2022 г."
На Ваше замовлення доставимо ліки дефіцит,Бесплатно,"Харьков, Слободской - 09 июня 2022 г."
"Гуманитарный проект ""ВОЗЬМИ ЖИЛЕТ ДАРОМ""",Бесплатно,"Харьков, Индустриальный  - 09 июня 2022 г."
"Мясо свинное,куриное. Куплю оптом",100 грн.,Мелитополь - 09 июня 2022 г.
экспертиза автоэксперт ОЦІНКА авто для ЗСУ автоэкспертиза експерт,Бесплатно,Ровно - 19 мая 2022 г.
экспертиза автоэксперт ОЦІНКА авто для ЗСУ автоэкспертиза експерт,Бесплатно,Каменец-Подольский - 19 мая 2022 г.
